#divider:1
[2026-05-28 09:35:06] [WARN] CPU=93.7% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.3% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.4% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.1% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.4% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=93.9% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.4% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.1% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.2% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.3% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=93.6% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=93.4% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.3% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.7% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.2% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.2% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=93.5% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.0% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.8% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.9% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.2% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.8% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.2% | RAM=35.6%
[2026-05-28 09:35:06] [CRITICAL] CPU=95.1% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.8% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.5% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.6% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.7% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=93.7% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.4% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.5% | RAM=35.6%
[2026-05-28 09:35:06] [CRITICAL] CPU=95.1% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.4% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.7% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.8% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.8% | RAM=35.6%
[2026-05-28 09:35:06] [CRITICAL] CPU=95.4% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.3% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=94.7% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.6% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.8% | RAM=35.7%
[2026-05-28 09:35:06] [WARN] CPU=93.3% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=93.7% | RAM=35.6%
[2026-05-28 09:35:06] [WARN] CPU=94.2% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=93.6% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=94.0% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=94.0% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=94.2% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=93.4% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=93.5% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=93.3% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=93.9% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=93.6% | RAM=35.5%
[2026-05-28 09:35:06] [WARN] CPU=93.9% | RAM=35.5%
